customerid,loanno,Month,Loan Amount,EMI Amount,Interest Rate (%),Repayment Period (Months),Credit Score,Credit History (Years),Outstanding Balance Amount,Bank Statement,payment
Cus00020,Loan00019,August,320719.64,12335.37,6.27,45,386,5,260056.2,"Transactions: 5, Deposits: 39437.02, Withdrawals: 22755.56",1
Cus00020,Loan00019,September,320719.64,12335.37,6.27,45,386,5,260056.2,"Transactions: 10, Deposits: 65641.64, Withdrawals: 56799.63",0
Cus00020,Loan00019,October,320719.64,12335.37,6.27,45,386,5,260056.2,"Transactions: 7, Deposits: 92619.39, Withdrawals: 44997.42",1
Cus0004,Loan00020,January,332115.23,8976.09,9.97,17,644,7,186967.75,"Transactions: 11, Deposits: 91857.19, Withdrawals: 41818.25",1
Cus0004,Loan00020,February,332115.23,8976.09,9.97,17,644,7,186967.75,"Transactions: 11, Deposits: 55488.85, Withdrawals: 71255.84",1
Cus0004,Loan00020,March,332115.23,8976.09,9.97,17,644,7,186967.75,"Transactions: 13, Deposits: 71998.97, Withdrawals: 57583.35",1
Cus0004,Loan00020,April,332115.23,8976.09,9.97,17,644,7,186967.75,"Transactions: 13, Deposits: 51558.95, Withdrawals: 31719.41",1
Cus0004,Loan00020,May,332115.23,8976.09,9.97,17,644,7,186967.75,"Transactions: 13, Deposits: 85802.0, Withdrawals: 46377.59",1
Cus0004,Loan00020,June,332115.23,8976.09,9.97,17,644,7,186967.75,"Transactions: 19, Deposits: 84626.16, Withdrawals: 23895.4",1
Cus0004,Loan00020,July,332115.23,8976.09,9.97,17,644,7,186967.75,"Transactions: 19, Deposits: 66634.58, Withdrawals: 33463.56",0
Cus0004,Loan00020,August,332115.23,8976.09,9.97,17,644,7,186967.75,"Transactions: 9, Deposits: 65689.03, Withdrawals: 30539.49",1
Cus0004,Loan00020,September,332115.23,8976.09,9.97,17,644,7,186967.75,"Transactions: 16, Deposits: 65456.2, Withdrawals: 70280.17",1
Cus0004,Loan00020,October,332115.23,8976.09,9.97,17,644,7,186967.75,"Transactions: 16, Deposits: 39262.34, Withdrawals: 27530.44",1
Cus00016,Loan00021,January,332115.23,8976.09,9.97,17,644,7,186967.75,"Transactions: 11, Deposits: 91857.19, Withdrawals: 41818.25",1
Cus00016,Loan00021,February,332115.23,8976.09,9.97,17,644,7,186967.75,"Transactions: 11, Deposits: 55488.85, Withdrawals: 71255.84",1
Cus00016,Loan00021,March,332115.23,8976.09,9.97,17,644,7,186967.75,"Transactions: 13, Deposits: 71998.97, Withdrawals: 57583.35",1
Cus00016,Loan00021,April,332115.23,8976.09,9.97,17,644,7,186967.75,"Transactions: 13, Deposits: 51558.95, Withdrawals: 31719.41",1
Cus00016,Loan00021,May,332115.23,8976.09,9.97,17,644,7,186967.75,"Transactions: 13, Deposits: 85802.0, Withdrawals: 46377.59",1
Cus00016,Loan00021,June,332115.23,8976.09,9.97,17,644,7,186967.75,"Transactions: 19, Deposits: 84626.16, Withdrawals: 23895.4",1
Cus00016,Loan00021,July,332115.23,8976.09,9.97,17,644,7,186967.75,"Transactions: 19, Deposits: 66634.58, Withdrawals: 33463.56",0
Cus00016,Loan00021,August,332115.23,8976.09,9.97,17,644,7,186967.75,"Transactions: 9, Deposits: 65689.03, Withdrawals: 30539.49",1
Cus00016,Loan00021,September,332115.23,8976.09,9.97,17,644,7,186967.75,"Transactions: 16, Deposits: 65456.2, Withdrawals: 70280.17",1
Cus00016,Loan00021,October,332115.23,8976.09,9.97,17,644,7,186967.75,"Transactions: 16, Deposits: 39262.34, Withdrawals: 27530.44",1
